i t amp pha
904 11.337337 0.000000 5.238504
905 11.365365 0.000000 5.256114
906 11.393393 0.000000 5.273725
907 11.421421 0.000000 5.291335
908 11.449449 0.000000 5.308946
909 11.477477 0.000000 5.326556
910 11.505506 0.000000 5.344167
911 11.533534 0.000000 5.361777
912 11.561562 0.000000 5.379388
913 11.589590 0.000000 5.396998
914 11.617618 0.000000 5.414609
915 11.645646 0.000000 5.432219
916 11.673674 0.000000 5.449830
917 11.701702 0.000000 5.467440
918 11.729730 0.000000 5.485051
919 11.757758 0.000000 5.502661
920 11.785786 0.000000 5.520272
921 11.813814 0.000000 5.537883
922 11.841842 0.000000 5.555493
923 11.869870 0.000000 5.573104
924 11.897898 0.000000 5.590714
925 11.925926 0.000000 5.608325
926 11.953954 0.000000 5.625935
927 11.981982 0.000000 5.643546
928 12.010010 0.000000 5.661156
929 12.038038 0.000000 5.678767
930 12.066066 0.000000 5.696377
931 12.094094 0.000000 5.713988
932 12.122122 0.000000 5.731598
933 12.150150 0.000000 5.749209
934 12.178178 0.000000 5.766819
935 12.206206 0.000000 5.784430
936 12.234234 0.000000 5.802040
937 12.262262 0.000000 5.819651
938 12.290290 0.000000 5.837262
939 12.318318 0.000000 5.854872
940 12.346346 0.000000 5.872483
941 12.374374 0.000000 5.890093
942 12.402402 0.000000 5.907704
943 12.430430 0.000000 5.925314
944 12.458458 0.000000 5.942925
945 12.486486 0.000000 5.960535
946 12.514515 0.000000 5.978146
947 12.542543 0.000000 5.995756
948 12.570571 0.000000 6.013367
949 12.598599 0.000000 6.030977
950 12.626627 0.000000 6.048588
951 12.654655 0.000000 6.066198
952 12.682683 0.000000 6.083809
953 12.710711 0.000000 6.101419
954 12.738739 0.000000 6.119030
955 12.766767 0.000000 6.136641
956 12.794795 0.000000 6.154251
957 12.822823 0.000000 6.171862
958 12.850851 0.000000 6.189472
959 12.878879 0.000000 6.207083
960 12.906907 0.000000 6.224693
961 12.934935 0.000000 6.242304
962 12.962963 0.000000 6.259914
963 12.990991 0.000000 6.277525
964 13.019019 0.019019 0.011950
965 13.047047 0.047047 0.029561
966 13.075075 0.075075 0.047171
967 13.103103 0.103103 0.064782
968 13.131131 0.131131 0.082392
969 13.159159 0.159159 0.100003
970 13.187187 0.187187 0.117613
971 13.215215 0.215215 0.135224
972 13.243243 0.243243 0.152834
973 13.271271 0.271271 0.170445
974 13.299299 0.299299 0.188055
975 13.327327 0.327327 0.205666
976 13.355355 0.355355 0.223276
977 13.383383 0.383383 0.240887
978 13.411411 0.411411 0.258497
979 13.439439 0.439439 0.276108
980 13.467467 0.467467 0.293718
981 13.495495 0.495495 0.311329
982 13.523524 0.523524 0.328940
983 13.551552 0.551552 0.346550
984 13.579580 0.579580 0.364161
985 13.607608 0.607608 0.381771
986 13.635636 0.635636 0.399382
987 13.663664 0.663664 0.416992
988 13.691692 0.691692 0.434603
989 13.719720 0.719720 0.452213
990 13.747748 0.747748 0.469824
991 13.775776 0.775776 0.487434
992 13.803804 0.803804 0.505045
993 13.831832 0.831832 0.522655
994 13.859860 0.859860 0.540266
995 13.887888 0.887888 0.557876
996 13.915916 0.915916 0.575487
997 13.943944 0.943944 0.593097
998 13.971972 0.971972 0.610708
999 14.000000 1.000000 0.628319
